,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
11,Rated Blitz game,2023.02.05,Jay_1999,philipthomasneumann,Lost,2033,-7,2013,37,philipthomasneumann,2013,Jay_1999,2033,Lost against Similar Rating,A01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 6:29,Standard,Nimzovich-Larsen Attack,2033,6,morning,morning
12,Rated Blitz game,2023.02.05,Jay_1999,AltaiKA,Won,2026,7,2012,-5,Jay_1999,2026,AltaiKA,2012,Won against Similar Rating,A01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 6:19,Standard,Nimzovich-Larsen Attack,2033,6,morning,morning
13,Rated Blitz game,2023.02.05,Jay_1999,namaskaramplayers,Lost,2034,-8,1989,7,namaskaramplayers,1989,Jay_1999,2034,Lost against Similar Rating,A01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 6:05,Standard,Nimzovich-Larsen Attack,2034,6,morning,morning
14,Rated Blitz game,2023.02.04,hnmn10,Jay_1999,Won,2045,-6,2027,7,Jay_1999,2027,hnmn10,2045,Won against Similar Rating,E61,Resignation/Checkmate,blitz,2023.02.04,2/10/2023 21:49,Standard,King's Indian Defense,2034,21,evening,evening
15,Rated Blitz game,2023.02.04,Awtsu,Jay_1999,Won,1937,-41,2021,6,Jay_1999,2021,Awtsu,1937,Won agaist high rated player,B01,Time forfeit,blitz,2023.02.04,2/10/2023 21:33,Standard,Scandinavian Defense,2027,21,evening,evening
16,Rated Blitz game,2023.02.04,Jay_1999,BallerKnight,Won,2014,7,1978,-5,Jay_1999,2014,BallerKnight,1978,Won against Similar Rating,A01,Time forfeit,blitz,2023.02.04,2/10/2023 21:23,Standard,Nimzovich-Larsen Attack,2021,21,evening,evening
17,Rated Blitz game,2023.02.04,Jay_1999,MatiBlitz,Won,2005,9,2075,-7,Jay_1999,2005,MatiBlitz,2075,Won agaist high rated player,A01,Resignation/Checkmate,blitz,2023.02.04,2/10/2023 21:22,Standard,Nimzovich-Larsen Attack,2014,21,evening,evening
18,Rated Blitz game,2023.02.03,gefar,Jay_1999,Lost,2046,5,2012,-7,gefar,2046,Jay_1999,2012,Lost against Similar Rating,B10,Time forfeit,blitz,2023.02.03,2/10/2023 20:56,Standard,Caro-Kann Defense,2012,20,evening,evening
19,Rated Blitz game,2023.01.27,Gus851,Jay_1999,Won,1954,-5,2005,7,Jay_1999,2005,Gus851,1954,Won agaist high rated player,B01,Resignation/Checkmate,blitz,2023.01.27,2/10/2023 18:43,Standard,Scandinavian Defense,2012,18,evening,evening
20,Rated Blitz game,2023.01.27,seluchico,Jay_1999,Won,1981,-6,1998,7,Jay_1999,1998,seluchico,1981,Won against Similar Rating,D78,Resignation/Checkmate,blitz,2023.01.27,2/10/2023 18:37,Standard,Mixed of opening I usually not played,2005,18,evening,evening
21,Rated Blitz game,2023.01.26,Jay_1999,REICHCHESS777,Lost,2005,-7,2025,5,REICHCHESS777,2025,Jay_1999,2005,Lost against Similar Rating,A01,Time forfeit,blitz,2023.01.26,2/10/2023 8:13,Standard,Nimzovich-Larsen Attack,2005,8,morning,morning
22,Rated Blitz game,2023.01.26,Jay_1999,Sonnenwichtel2000,Won,1999,6,1925,-5,Jay_1999,1999,Sonnenwichtel2000,1925,Won agaist high rated player,A01,Resignation/Checkmate,blitz,2023.01.26,2/10/2023 8:09,Standard,Nimzovich-Larsen Attack,2005,8,morning,morning
23,Rated Blitz game,2023.01.26,SviatosLaVCHic,Jay_1999,Won,1922,-8,1992,7,Jay_1999,1992,SviatosLaVCHic,1922,Won agaist high rated player,B01,Resignation/Checkmate,blitz,2023.01.26,2/10/2023 8:01,Standard,Scandinavian Defense,1999,8,morning,morning
24,Rated Blitz game,2023.01.26,YarrYarr,Jay_1999,Won,1954,-5,1984,8,Jay_1999,1984,YarrYarr,1954,Won against Similar Rating,B01,Time forfeit,blitz,2023.01.26,2/10/2023 7:49,Standard,Scandinavian Defense,1992,7,morning,morning
